nro;altitude;country;county;latitude;localname;abs(longitude);municipality;res_org;treespecies
115212;370;Sweden;Gävleborgs län;62.1;SILVERÃ…SEN HASSELA;16.5;Nordanstig;Skogforsk;,Pinus sylvestris,
115222;200;Sweden;Gävleborgs län;60.8;JÄDRAÃ…S;16.4;Ockelbo;Skogforsk;,Pinus sylvestris,
115223;440;Sweden;Gävleborgs län;61.6;GRÖNVALL;16;Ljusdal;Skogforsk;,Pinus sylvestris,
115224;530;Sweden;Jämtlands län;62;RASSEN ÄLVROS;14.7;Härjedalen;Skogforsk;,Pinus sylvestris,
115225;85;Sweden;Värmlands län;59.4;Kärne;13.3;;Skogforsk;,Pinus sylvestris,
115241;90;Sweden;Värmlands län;59.6;Rättartorp, Brunsberg;12.9;;Skogforsk;,Pinus sylvestris,
115242;100;Sweden;Värmlands län;59.6;Rättartorp , Brunsberg;12.9;;Skogforsk;,Pinus sylvestris,
115245;275;Sweden;Västernorrlands län;64.2;Lunne;16.2;Strömsund;Skogforsk;,Pinus sylvestris,
115247;275;Sweden;Västernorrlands län;62.4;Alby;15.4;Ã…nge;Skogforsk;,Pinus sylvestris,
115249;225;Sweden;Västernorrlands län;63.5;Johan-Lars torpet Norrmoflo;16.7;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
115250;200;Sweden;Västernorrlands län;63.5;Sundmo Plantskolan;16.6;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
115251;200;Sweden;Västernorrlands län;63.5;Sundmo Plantskolan;16.6;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
115254;370;Sweden;Jämtlands län;64.5;Kycklingvattnet;14.1;Strömsund;Skogforsk;,Pinus sylvestris,
115259;240;Sweden;Västernorrlands län;64;Andersnäset Hoting;16.2;Strömsund;Skogforsk;,Pinus sylvestris,
115260;365;Sweden;Västernorrlands län;63.9;Övra;16.7;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
115261;175;Sweden;Västernorrlands län;63.5;Norrboholm;16.5;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
115262;290;Sweden;Jämtlands län;63.7;Tjärnnäset;16.2;Strömsund;Skogforsk;,Pinus sylvestris,
115263;350;Sweden;Västerbottens län;64.2;Ställhult Yxsjö;17.5;Ã…sele;Skogforsk;,Pinus sylvestris,
115264;250;Sweden;Västernorrlands län;63.3;Ã…llsjön;17.4;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
115272;195;Sweden;Västernorrlands län;63.4;KilÃ¥mon;16.7;SollefteÃ¥;Skogforsk;,Pinus sylvestris,
